,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_error_1,midpoint_abs_error_1,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_estimated_location_1,arg_variance_in_estimated_location_1,arg_error_0,arg_abs_error_0,arg_error_1,arg_abs_error_1,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_error_1,window_0_abs_error_1,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_error_1,window_100_abs_error_1,window_100_abs_error,window_100_dist_to_center
917,236,915832.2442498945,1028,134.76462070309057,132.4069860380183,22.663292978037223,137.39220765766845,136.43963714093354,-2.627586954577879,2.627586954577879,-4.032651102915253,4.032651102915253,4.813157811843641,17.878377320834336,915832.2442498945,143.29033805814623,132.33653092927992,145.50308128017858,124.39575895357586,-8.525717355055662,8.525717355055662,-13.096095242160288,13.096095242160288,15.626758045417821,7.267459969035387,137.8545674466509,319.4405188970022,135.9837903546419,303.61641852930927,-3.0899467435603185,3.0899467435603185,-3.5768043166236225,3.5768043166236225,4.726658438839896,17.9411288433246,135.38232448493508,310.72587968747007,135.66195691678297,291.20221937820634,-0.6177037818445115,0.6177037818445115,-3.2549708787646807,3.2549708787646807,3.3130640476319093,19.794717308132533
918,836,508958.9417709901,943,138.88157890845838,164.73392134131146,17.721402286989974,161.89532947741958,164.9228428369272,-23.0137505689612,23.0137505689612,-0.18892149561574456,0.18892149561574456,23.014525990814317,19.696176148963122,508958.9417709901,147.03530422944425,67.07403987981348,155.1676030612185,63.04930345643309,-8.15372532098587,8.15372532098587,9.566318280092958,9.566318280092958,12.569712886383954,5.3834994594113725,162.9036826182106,271.5839087177131,163.05308658557732,257.38111628527184,-24.02210370975223,24.02210370975223,1.6808347557341392,1.6808347557341392,24.080836200559474,19.06022438282601,153.53999270976124,130.91328408752665,158.77039670144003,125.13806665895011,-14.658413801302856,14.658413801302856,5.963524639871423,5.963524639871423,15.825066233686973,9.815524154628065
919,899,174448.53614285516,210,146.7509000883791,148.68092413224238,2.588926963893161,144.9609011760484,148.87879711666844,1.7899989123307023,1.7899989123307023,-0.1978729844260556,0.1978729844260556,1.8009025026665857,4.133312154610022,174448.53614285516,146.4431677773074,15.114754518664471,149.1319162631738,14.207802989418198,0.3077323110717032,0.3077323110717032,-0.4509921309314109,0.4509921309314109,0.5459790082407806,2.6511830721464937,143.37630542464828,23.879869946607197,147.63450854058664,22.889513674034877,3.374594663730818,3.374594663730818,1.0464155916557445,1.0464155916557445,3.5331111976473024,6.060128670837962,143.85254712719922,19.377796187359397,146.5245274170345,18.67567867317206,2.8983529611798815,2.8983529611798815,2.156396715207876,2.156396715207876,3.6125471181618525,6.199525999349614
920,945,724988.1587644777,413,166.8541933121814,106.9985683920386,46.70725458904659,155.82299308589177,130.43265089946226,11.031200226289627,11.031200226289627,-23.434082507423653,23.434082507423653,25.90064866749927,20.866678034784858,724988.1587644777,153.60392887953114,24.352097982803603,135.40010716449913,22.89086535222494,13.250264432650255,13.250264432650255,-28.401538772460526,28.401538772460526,31.34034001377035,15.450892561012433,157.29673682107068,52.75837003909924,131.16792211147774,50.400974969250804,9.557456491110713,9.557456491110713,-24.16935371943913,24.16935371943913,25.990433505327307,20.726206805829822,155.06223533927,39.733716527559956,132.0929194058777,37.0774766879484,11.791957972911405,11.791957972911405,-25.094351013839088,25.094351013839088,27.72682321580811,19.04881581992867
921,820,932170.9437080898,1864,182.91912604497819,125.6822076367094,41.883002529493204,159.42823402714032,140.439539516851,23.490892017837865,23.490892017837865,-14.757331880141592,14.757331880141592,27.74168077125757,14.29862202952454,932170.9437080898,153.6113471352432,177.0984450157972,141.84036657703874,166.47176197335196,29.307778909734992,29.307778909734992,-16.15815894032933,16.15815894032933,33.46687922353759,9.52327293072902,154.68418969877342,393.76061710376325,137.06783777885292,374.1756181983448,28.234936346204762,28.234936346204762,-11.385630142143512,11.385630142143512,30.4441160851801,14.273733856461678,156.62994722362495,299.58599413800596,143.30383889526559,282.33196110632343,26.289178821353232,26.289178821353232,-17.621631258556178,17.621631258556178,31.64874106996377,10.302241350776008
922,910,536800.3458224104,549,141.8792252974246,151.9782682233312,7.266556837188198,143.0723591297318,150.82008876626773,-1.1931338323072112,1.1931338323072112,1.1581794570634827,1.1581794570634827,1.6628132777194065,5.87349517776794,536800.3458224104,144.72413351234556,45.85043537223527,147.947465841066,43.09920825663071,-2.844908214920963,2.844908214920963,4.030802382265222,4.030802382265222,4.933646784701938,4.7100409267175865,143.69710871778983,84.28212568366469,151.85847127920493,80.25827607984739,-1.8178834203652343,1.8178834203652343,0.1197969441262785,0.1197969441262785,1.8218264016806864,5.489675339586648,143.04238646090818,69.22102680395096,151.11383667128516,66.14601275211834,-1.1631611634835792,1.1631611634835792,0.8644315520460566,0.8644315520460566,1.4492017804326724,5.945310777075243
923,747,807151.7729182002,1926,120.6049691105508,184.30942604392797,44.38272610162875,146.99489186078588,150.09011805976323,-26.389922750235087,26.389922750235087,34.21930798416474,34.21930798416474,43.21329727848242,1.9091577424952086,807151.7729182002,146.6813671496345,100.72117521414008,153.75700365747502,94.67746317269452,-26.0763980390837,26.0763980390837,30.552422386452946,30.552422386452946,40.167512349820214,4.263339796085929,147.74870309666665,190.63813779828845,148.29928837091347,181.4246633900145,-27.143733986115848,27.143733986115848,36.0101376730145,36.0101376730145,45.09448203426311,2.155194084188795,145.7599579620665,129.7964410036338,155.4300192571451,121.48840344261498,-25.154988851515697,25.154988851515697,28.87940678678288,28.87940678678288,38.29874149990258,6.171974671351302
924,976,925915.6970900125,1072,195.9831158180817,152.10089978078392,47.120988375661334,165.2938654386454,151.71970865837923,30.689250379436288,30.689250379436288,0.38119112240468667,0.38119112240468667,30.691617675246942,16.46803270492536,925915.6970900125,157.28994613670645,101.46327501520355,152.7710840748685,95.37503373257205,38.69316968137525,38.69316968137525,-0.6701842940845779,0.6701842940845779,38.69897320317084,8.795544874142003,165.7281974934695,350.95207269073995,151.56199677980942,333.5669869111279,30.25491832461219,30.25491832461219,0.5389030009745,0.5389030009745,30.259717435452266,16.886150472262187,159.6668758015667,247.15102944277658,157.64488636619586,231.69538034469826,36.316240016514996,36.316240016514996,-5.543986585411943,5.543986585411943,36.736971516394114,13.13336988266956
925,305,616583.210075287,722,159.66492510774418,132.11266399213574,20.976680335992818,157.71961893870332,144.70779017081964,1.9453061690408617,1.9453061690408617,-12.595126178683898,12.595126178683898,12.744466232380109,10.34392652407507,616583.210075287,152.52641282789233,39.314828296006155,144.09491612293854,36.955766254933195,7.138512279851852,7.138512279851852,-11.982252130802806,11.982252130802806,13.947498832970881,7.0292214316790655,152.89567076272147,78.49701626951756,148.13268097690437,74.19118657770808,6.769254345022716,6.769254345022716,-16.02001698476863,16.02001698476863,17.39148494464703,4.458623959297439,155.33603127133563,74.02113751887849,145.32705431195146,70.30226544734707,4.328893836408554,4.328893836408554,-13.21439031981572,13.21439031981572,13.905374262181345,8.02083199509462
926,514,113191.59550510072,324,145.65976369651577,171.45815428074303,21.584556691634166,148.0486019500777,172.15026084187406,-2.388838253561943,2.388838253561943,-0.6921065611310269,0.6921065611310269,2.487078545933258,22.048078706564677,113191.59550510072,145.77057163368323,39.07794786431371,164.40477244221827,36.73309968754841,-0.11080793716746484,0.11080793716746484,7.053381838524757,7.053381838524757,7.054252175742669,14.625561476137214,147.26262456886488,88.58843348812071,171.747709775423,88.58843348812071,-1.6028608723491118,1.6028608723491118,-0.28955549467997344,0.28955549467997344,1.628804887212437,21.69111277488314,147.091563869615,87.7278132769569,171.55370983583634,87.7278132769569,-1.4318001730992194,1.4318001730992194,-0.0955555550933127,0.0955555550933127,1.4349852263337577,21.51140953676824
