num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,top_down_sum,paths_modified_sum
30,2000,2935,2,122,79,1320,1,0.7500789165496826,0.6408181190490723,0.007283926010131836,0.04672884941101074,48474407.72249537,48474407.72249537,48474407.72249536,48474407.72249537
30,3000,4842,8,140,82,0123,3,1.8264319896697998,0.17821097373962402,0.008117914199829102,0.0632319450378418,401602505.1860484,401602505.1860484,401602505.1860484,401602505.1860484
30,3000,9156,9,143,282,2013,1,30.19112992286682,1.3893418312072754,0.013752222061157227,0.20278620719909668,4108821019.33888,4108821019.3388805,4108821019.33888,4108821019.33888
30,3000,5106,6,134,66,2310,1,0.6749358177185059,0.42541980743408203,0.00834512710571289,0.05300188064575195,52113091.762555316,52113091.762555316,52113091.762555316,52113091.762555316
30,4000,659,7,137,235,2031,1,12.941983938217163,0.6994349956512451,0.009575843811035156,0.1345081329345703,2099793596.800675,2099793596.8006747,2099793596.8006752,2099793596.800675
30,4000,3840,8,140,107,3012,1,1.2391860485076904,0.2733151912689209,0.008538007736206055,0.06303167343139648,127872260.332068,127872260.33206798,127872260.33206797,127872260.332068
30,4000,8227,9,143,228,2031,2,12.926983118057251,1.4921629428863525,0.009860754013061523,0.13113903999328613,811675575.0324239,811675575.0324239,811675575.0324239,811675575.0324239
30,5000,1058,8,140,146,2130,1,3.215702772140503,0.6014719009399414,0.00908517837524414,0.07774496078491211,268317882.18640643,268317882.18640637,268317882.18640637,268317882.1864064
30,5000,8942,14,158,201,0213,1,13.775264024734497,6.793443918228149,0.009943008422851562,0.13657379150390625,826212551.8547513,826212551.8547513,826212551.8547513,826212551.8547513
30,5000,4668,11,152,394,2130,2,37.58714509010315,1.8776488304138184,0.01628875732421875,0.2492830753326416,3885911421.3749743,3885911421.3749747,3885911421.374975,3885911421.3749743
40,1000,2330,2,162,81,3210,1,0.7889971733093262,1.2179021835327148,0.009976863861083984,0.07776618003845215,53621522.90922692,53621522.90922691,53621522.90922691,53621522.90922692
40,1000,594,4,168,174,3021,2,12.392279863357544,1.8161609172821045,0.01020503044128418,0.12656903266906738,1265117865.715652,1265117865.715652,1265117865.715652,1265117865.715652
40,1000,249,5,171,180,3120,2,11.189459800720215,1.6955790519714355,0.011081933975219727,0.12857437133789062,443983253.47550714,443983253.47550726,443983253.4755072,443983253.47550714
40,2000,1052,3,165,90,0132,1,1.157167911529541,0.36667704582214355,0.011459112167358398,0.0738821029663086,117308595.46941976,117308595.46941978,117308595.46941976,117308595.46941976
40,2000,3860,6,174,134,2301,1,3.3915090560913086,0.4440441131591797,0.011906147003173828,0.09904003143310547,373980647.29079247,373980647.29079247,373980647.29079247,373980647.29079247
40,2000,6875,5,171,150,0312,2,6.156327962875366,0.5148241519927979,0.010900259017944336,0.10650873184204102,455290650.37801826,455290650.3780184,455290650.3780183,455290650.37801826
40,3000,2702,10,186,506,1203,1,125.69891667366028,24.301233291625977,0.025690793991088867,0.5109529495239258,7848652863.020952,7848652863.020952,7848652863.02095,7848652863.020952
40,3000,4403,5,171,222,2310,1,11.935163974761963,1.151670217514038,0.013473033905029297,0.1450181007385254,698529897.4364226,698529897.4364226,698529897.4364227,698529897.4364228
40,3000,7250,4,168,84,2310,1,1.09541916847229,0.3728971481323242,0.009900093078613281,0.07455825805664062,82732714.87771803,82732714.87771803,82732714.87771803,82732714.87771803
40,4000,8279,14,198,200,0312,2,10.64512586593628,1.7415361404418945,0.012782812118530273,0.1498711109161377,389025805.6606385,389025805.6606386,389025805.6606385,389025805.6606385
40,4000,8575,6,174,170,2031,2,11.15685486793518,0.3482091426849365,0.011394977569580078,0.13514995574951172,441059867.51795256,441059867.51795256,441059867.51795244,441059867.5179525
40,4000,4034,10,186,611,0123,1,196.19774723052979,36.609720945358276,0.035919904708862305,0.7300090789794922,17547353706.096485,17547353706.096493,17547353706.09649,17547353706.096485
