num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
90,3000,9232,7,380,432,01,0.032872915267944336,0.6986942291259766,5393904254.787599,5393904254.787599
90,3000,4227,6,374,776,10,0.14368796348571777,1.294424057006836,21668738170.004425,21668738170.00443
90,4000,5048,14,398,494,01,0.04430794715881348,0.7395169734954834,3048705473.8336177,3048705473.833617
90,4000,8103,5,371,531,10,0.06717586517333984,0.7347791194915771,7866070207.057635,7866070207.057632
90,4000,5063,9,386,1084,01,0.3306851387023926,2.877936840057373,12025174378.960764,12025174378.960772
90,5000,905,16,407,727,10,0.09960389137268066,1.1435649394989014,15099883195.15565,15099883195.155657
90,5000,228,12,395,1430,10,0.415302038192749,3.2105159759521484,88012438671.5265,88012438671.5266
90,5000,8758,13,395,519,10,0.05042386054992676,0.6769979000091553,8064191803.780792,8064191803.780791
110,1000,6386,2,442,343,01,0.04472088813781738,0.5564370155334473,1604740629.7556055,1604740629.7556045
110,1000,4511,1,439,220,01,0.02661299705505371,0.4556877613067627,1130785509.2200499,1130785509.2200499
110,1000,2530,4,448,231,10,0.04058694839477539,0.48223304748535156,617657356.9413221,617657356.9413222
110,2000,635,5,451,355,01,0.04875516891479492,0.7666220664978027,1256764657.5830424,1256764657.5830421
110,2000,9953,1,439,220,10,0.03211522102355957,0.5889909267425537,727215611.4349145,727215611.4349146
110,2000,7517,6,454,526,01,0.06200599670410156,0.8781402111053467,3445426199.2066727,3445426199.2066717
110,3000,9195,5,451,310,01,0.043183088302612305,0.6166930198669434,1996297796.4704351,1996297796.4704356
110,3000,6694,16,484,1673,10,0.8776392936706543,5.699578285217285,94838043581.15462,94838043581.15468
110,3000,6958,4,448,246,10,0.03395986557006836,0.6472349166870117,975931667.7230536,975931667.7230535
110,4000,2801,18,490,2701,01,2.338046073913574,13.338970184326172,436301933922.6838,436301933922.6836
110,4000,1180,7,457,259,01,0.03926992416381836,0.5322465896606445,1124497807.9418218,1124497807.9418216
110,4000,7634,7,457,480,01,0.0666351318359375,0.8202650547027588,4222007133.01439,4222007133.01439
110,5000,9966,8,460,286,10,0.04009604454040527,0.562565803527832,3026705497.8299685,3026705497.8299694
110,5000,5638,21,514,16458,01,228.60777115821838,572.9891650676727,9615452349024.54,9615452349024.58
110,5000,2412,11,469,549,10,0.07261013984680176,0.9933750629425049,3250940092.5935707,3250940092.59357
130,1000,3752,3,525,262,10,0.040083885192871094,0.7043399810791016,1255307565.846092,1255307565.846092
130,1000,8246,4,528,311,10,0.04202890396118164,0.7052011489868164,810188479.482657,810188479.4826568
130,1000,4482,4,528,329,01,0.04049110412597656,0.75640869140625,1251651340.3182523,1251651340.3182523
130,2000,2963,5,531,366,01,0.04475879669189453,0.8168628215789795,1164475800.3886628,1164475800.3886628
130,2000,8178,5,531,554,10,0.09177803993225098,1.114454984664917,4436369793.053353,4436369793.053353
130,2000,5775,4,528,290,10,0.03894495964050293,0.6984381675720215,1151774231.1366627,1151774231.1366627
130,3000,5867,11,549,836,01,0.24972081184387207,1.9870867729187012,45175070471.7982,45175070471.7982
130,3000,7863,9,543,362,10,0.04484200477600098,0.8328299522399902,2337621233.9532967,2337621233.9532967
130,3000,6666,6,534,592,10,0.09544897079467773,1.180243968963623,7205571032.407259,7205571032.407261
130,4000,7443,17,570,2752,10,7.008684158325195,10.629645824432373,254302096744.53625,254302096744.5361
130,4000,2766,12,552,672,10,0.20089507102966309,1.7559709548950195,9545204661.932775,9545204661.932777
130,4000,5374,13,555,2545,10,6.421466112136841,12.657390832901001,99970200709.23695,99970200709.23695
130,5000,6148,11,549,554,10,0.14332985877990723,1.1342101097106934,4851793538.64062,4851793538.640623
130,5000,503,9,543,865,01,0.34261202812194824,1.9664580821990967,22727147732.27442,22727147732.27443
130,5000,9420,13,558,1157,01,0.9114060401916504,2.981386184692383,29600967981.807922,29600967981.80793
150,1000,805,3,605,363,10,0.05551719665527344,1.4650580883026123,713643277.331915,713643277.331915
150,1000,3972,7,617,1440,10,1.3221549987792969,4.869304180145264,116591141692.23244,116591141692.23257
150,1000,2064,3,605,507,01,0.12839102745056152,1.184373140335083,974005657.330239,974005657.330239
150,2000,2702,9,623,924,01,0.45034003257751465,2.849118947982788,23558675431.07103,23558675431.071026
150,2000,1323,8,620,360,01,0.06851673126220703,1.1360597610473633,766941732.519783,766941732.519783
150,2000,4121,5,611,556,10,0.17172574996948242,1.3964219093322754,9836861667.55584,9836861667.55584
150,3000,2922,11,629,2046,01,3.7792768478393555,9.012866020202637,167874511059.4533,167874511059.45322
150,3000,364,5,611,716,01,0.27177906036376953,1.6639292240142822,14390850195.953234,14390850195.953238
150,3000,5413,6,614,948,01,0.46132993698120117,2.806626081466675,37247788795.21313,37247788795.21313
150,4000,4690,8,620,452,01,0.06228184700012207,1.1711149215698242,3759212142.1160054,3759212142.116005
150,4000,6418,9,623,880,10,0.40213990211486816,1.9845046997070312,15629071518.266054,15629071518.266048
150,4000,9627,10,626,404,01,0.0634300708770752,1.1106021404266357,1696524899.7766976,1696524899.7766979
150,5000,8534,17,647,447,10,0.07408785820007324,1.3519768714904785,1701289384.6437056,1701289384.6437058
150,5000,8209,11,629,333,01,0.05488991737365723,1.4513211250305176,376873738.3567803,376873738.35678035
150,5000,961,14,638,2011,01,4.130616188049316,7.332086086273193,138538952009.89957,138538952009.89963
170,1000,7683,6,694,368,01,0.07102394104003906,1.5857861042022705,1119952542.368965,1119952542.3689647
170,1000,3118,1,679,340,01,0.07772994041442871,1.3181853294372559,636448261.0787431,636448261.0787431
170,1000,5388,4,688,720,01,0.24884295463562012,2.2902119159698486,17701653606.43675,17701653606.43675
170,2000,1717,4,688,436,10,0.07726812362670898,1.2770941257476807,5119591000.820744,5119591000.820743
170,2000,9194,4,688,453,10,0.08517885208129883,1.3060548305511475,1520827255.1568453,1520827255.156845
170,2000,6906,6,694,530,10,0.20527100563049316,1.6208090782165527,2992690954.1220217,2992690954.122022
170,3000,544,7,697,420,10,0.08719110488891602,1.6762328147888184,849825241.6409359,849825241.640936
170,3000,5076,3,685,345,01,0.07304573059082031,1.3097662925720215,939910344.3621508,939910344.3621509
170,3000,5184,5,691,640,10,0.15624189376831055,1.7668001651763916,3989991827.2781496,3989991827.278148
170,4000,4327,8,700,639,10,0.18176507949829102,1.72940993309021,9056275140.699444,9056275140.699448
170,4000,2046,8,700,491,01,0.12055182456970215,1.4021470546722412,2674638679.8344526,2674638679.834452
170,4000,2822,11,709,1749,01,3.4353902339935303,5.82470178604126,75173902877.9673,75173902877.96732
170,5000,2952,8,700,642,01,0.1849050521850586,1.6140899658203125,4883825283.653851,4883825283.653853
170,5000,6727,17,727,9056,10,113.24214887619019,176.06647396087646,5500373838773.475,5500373838773.436
170,5000,8945,11,709,624,01,0.15129971504211426,1.576469898223877,3927906509.0768094,3927906509.07681
190,1000,708,4,768,715,10,0.23251605033874512,2.1276867389678955,11942709418.804525,11942709418.804523
190,1000,1072,4,768,416,10,0.06452417373657227,1.4465539455413818,11382128658.97745,11382128658.977446
190,1000,719,3,765,571,10,0.12122488021850586,1.6526405811309814,7657995845.588863,7657995845.588862
190,2000,7266,8,780,961,10,0.4886817932128906,3.0589632987976074,9136017453.07183,9136017453.071835
190,2000,3760,6,774,680,01,0.22011590003967285,1.8472821712493896,6129864539.373997,6129864539.374
190,2000,4738,9,783,1088,10,0.7363607883453369,3.1706771850585938,39627863743.35123,39627863743.35125
190,3000,1311,15,801,1098,01,0.6522550582885742,3.3414649963378906,41097136393.818596,41097136393.8186
190,3000,5323,8,780,1168,01,1.6805481910705566,3.665350914001465,39870548902.42735,39870548902.427345
190,3000,2944,15,804,3733,10,18.079941034317017,29.031076192855835,455503278640.8995,455503278640.8978
190,4000,9542,21,825,15382,01,321.9832270145416,1405.2595160007477,10017853190300.672,10017853190300.725
190,4000,3295,12,792,1487,10,2.364152193069458,5.103419780731201,72504643471.40678,72504643471.40685
190,4000,5532,14,798,2432,01,6.267768859863281,9.364556789398193,141318796516.79913,141318796516.79895
190,5000,6320,19,813,4051,01,20.824881076812744,29.771855115890503,980178076253.4546,980178076253.453
190,5000,6322,17,807,4620,10,25.659880876541138,36.33164620399475,2582876666978.124,2582876666978.1196
190,5000,8017,15,801,1570,01,2.982187032699585,5.110033750534058,71102178798.4314,71102178798.43138
210,1000,2705,7,857,602,10,0.1502671241760254,2.108030080795288,10258077343.114664,10258077343.114666
210,1000,7192,6,854,745,10,0.31908202171325684,2.2435309886932373,26553498216.047626,26553498216.04761
210,1000,7008,5,851,915,10,0.41510486602783203,2.739164113998413,12574946845.386581,12574946845.38659
210,2000,174,11,869,1305,10,0.9995479583740234,3.9217259883880615,31017139025.70655,31017139025.70658
210,2000,9216,7,857,564,01,0.1450972557067871,1.9466171264648438,7331749888.296919,7331749888.296917
210,2000,73,3,845,424,10,0.07741999626159668,1.6875910758972168,2183377797.639499,2183377797.639499
210,3000,7857,11,869,941,10,0.5476129055023193,3.202763080596924,12171624829.848303,12171624829.848297
210,3000,8709,11,869,2445,10,6.683531999588013,10.289644002914429,105489632716.08362,105489632716.08345
210,3000,5911,14,878,1117,01,1.0782415866851807,4.1113011837005615,20233439787.761074,20233439787.761047
210,4000,5202,13,875,1496,10,1.7842378616333008,4.588354110717773,44197467330.02336,44197467330.02338
210,4000,2597,5,851,1091,01,1.1906850337982178,3.6784350872039795,24741510146.319035,24741510146.31902
210,4000,9149,11,869,4574,10,28.459636926651,47.95297312736511,868758720114.0133,868758720114.0148
210,5000,3807,18,893,3892,10,30.153275966644287,26.383918046951294,476689967134.54266,476689967134.54297
210,5000,6000,13,875,2837,01,11.237137794494629,13.731631994247437,328818772612.85913,328818772612.8586
210,5000,7284,17,887,1580,10,2.383991003036499,4.747135877609253,35625995794.92704,35625995794.92706
