num_samples,sequence_length,seed,num_trees,nodes,num_paths,num_loop_groups,max_loop_size
450,2000,2094,10,1826,1821,1,66
450,3000,8536,7,1817,1020,2,40
450,4000,4128,13,1835,3888,2,80
450,5000,8460,15,1841,2908,1,89
450,6000,5256,30,1886,13212,2,172
450,7000,185,17,1847,2075,3,97
450,8000,8993,23,1868,3066,1,122
450,9000,8446,34,1901,67762,2,150
450,10000,1114,28,1895,59804,1,154
500,1000,4576,2,2002,1164,1,3
500,2000,3522,4,2008,2032,3,10
500,3000,5315,12,2035,31858,2,28
500,4000,6630,18,2050,8871,1,100
500,5000,5407,20,2056,3966,2,91
500,6000,2736,17,2047,2077,1,88
500,7000,3130,23,2065,9305,1,96
500,8000,137,20,2056,2245,1,117
500,9000,7700,25,2071,2289,3,136
500,10000,8983,37,2107,20084,1,180
50,1000,4619,5,211,155,1,23
50,2000,8511,9,223,453,1,35
50,3000,3817,9,223,495,2,27
50,4000,8987,5,211,146,1,20
50,5000,3811,8,220,148,1,38
50,6000,5343,14,238,538,1,47
50,7000,3023,18,253,698,2,54
50,8000,3407,26,277,7020,1,85
50,9000,7493,18,250,711,1,56
50,10000,214,24,271,2628,2,73
100,1000,6177,6,414,351,1,28
100,2000,6314,5,411,257,1,23
100,3000,585,8,420,342,1,48
100,4000,2062,12,432,1524,1,41
100,5000,6902,7,417,431,2,18
100,6000,1164,19,453,1663,1,66
100,7000,2998,18,450,1344,1,62
100,8000,198,22,462,805,1,83
100,9000,4998,15,441,5664,1,50
100,10000,2740,18,450,1022,1,74
150,1000,6546,4,608,345,2,17
150,2000,4325,10,626,1839,2,38
150,3000,2842,13,635,3677,3,20
150,4000,7764,9,623,474,2,29
150,5000,9449,20,656,9048,1,73
150,6000,7037,22,662,2329,1,97
150,7000,1912,24,668,22415,1,84
150,8000,1825,21,665,7177,2,78
150,9000,5140,20,656,5037,3,65
150,10000,3202,22,665,1621,1,88
200,1000,627,2,802,744,1,3
200,2000,9403,11,829,636,1,62
200,3000,7268,10,826,5206,3,40
200,4000,8827,7,817,1160,1,30
200,5000,8935,10,826,823,4,23
200,6000,5864,18,853,1139,1,107
200,7000,2094,33,904,21400,3,132
200,8000,5215,18,850,1728,1,107
200,9000,1012,17,847,1150,1,78
200,10000,2737,38,913,7199,1,154
250,1000,557,1,999,500,0,0
250,2000,7008,6,1014,549,1,37
250,3000,1627,7,1017,564,1,59
250,4000,8134,12,1032,1512,2,55
250,5000,7394,12,1032,2148,1,49
250,6000,8694,17,1047,3289,1,66
250,7000,3572,14,1038,832,1,99
250,8000,7712,32,1092,9535,1,95
250,9000,8882,32,1098,51112,1,139
250,10000,1831,40,1122,53968,2,158
300,1000,1341,4,1208,627,1,23
300,2000,5204,7,1217,1667,3,28
300,3000,7910,9,1223,753,1,74
300,4000,2903,9,1223,1254,1,43
300,5000,1059,16,1244,2163,2,76
300,6000,983,16,1244,1090,1,102
300,7000,5646,15,1244,1647,2,70
300,8000,4282,24,1268,4296,1,107
300,9000,3822,25,1271,7977,1,116
300,10000,2052,31,1292,3017,1,150
350,1000,6443,4,1408,715,2,38
350,2000,5049,4,1408,1514,3,11
350,3000,3272,9,1423,959,2,44
350,4000,3931,12,1432,906,3,38
350,5000,1155,18,1450,3812,2,79
350,6000,5551,26,1474,8524,2,125
350,7000,7861,14,1438,1160,2,78
350,8000,7363,33,1498,15335,1,139
350,9000,3209,25,1471,4773,1,136
350,10000,1175,32,1492,15451,2,144
400,1000,4451,4,1608,824,3,25
400,2000,3993,6,1614,850,1,56
400,3000,1699,10,1626,1508,1,57
400,4000,8593,9,1623,2156,2,36
400,5000,9558,14,1638,5278,1,60
400,6000,1496,23,1665,30482,1,107
400,7000,7853,19,1659,5437,1,111
400,8000,7476,29,1686,5433,1,139
400,9000,8663,25,1680,18976,1,102
400,10000,9080,37,1710,11088,1,177
450,1000,7319,4,1808,943,1,38
450,2000,8372,10,1826,2728,2,44
450,3000,1834,7,1820,3718,1,43
450,4000,2363,14,1838,2190,1,103
450,5000,7694,14,1838,7346,1,100
450,6000,9716,21,1859,2785,3,115
450,7000,4840,32,1895,57307,1,156
450,8000,1474,21,1859,3112,2,101
450,9000,308,24,1871,33624,1,134
450,10000,1128,35,1901,35046,1,148
500,1000,1583,4,2008,1580,1,23
500,2000,8634,6,2014,2935,1,52
500,3000,7315,6,2014,1381,1,53
500,4000,2636,28,2080,16946,1,135
500,5000,2910,12,2032,1981,1,68
500,6000,1258,14,2038,1369,2,103
500,7000,9208,26,2074,27957,1,162
500,8000,7279,25,2074,5645,1,147
500,9000,9740,22,2062,3966,1,122
500,10000,1273,22,2062,14458,1,130
50,1000,3033,1,199,100,0,0
50,2000,285,5,211,253,1,16
50,3000,490,10,229,621,1,34
50,4000,2652,6,214,163,1,23
50,5000,3780,20,256,1476,2,64
50,6000,5667,8,220,210,1,28
50,7000,3063,17,250,905,1,77
50,8000,8585,11,229,284,2,37
50,9000,1068,10,226,222,1,31
50,10000,5976,28,280,1590,2,87
100,1000,5459,2,402,204,1,4
100,2000,8051,7,417,395,1,28
100,3000,1399,6,414,532,2,12
100,4000,5656,10,429,324,1,47
100,5000,3047,12,432,323,1,44
100,6000,360,14,438,294,1,62
100,7000,5869,17,447,1990,1,69
100,8000,4012,14,438,770,2,64
100,9000,2817,27,477,2982,2,89
100,10000,64,21,459,3459,1,76
150,1000,5328,3,605,422,2,3
150,2000,7219,7,617,612,2,34
150,3000,9515,7,617,327,2,34
150,4000,9398,13,635,3328,1,45
150,5000,576,19,656,4398,2,78
150,6000,8224,13,635,2013,1,53
150,7000,5770,27,677,1652,2,106
150,8000,9585,19,659,21734,2,61
150,9000,1645,24,677,20696,1,117
150,10000,3152,37,707,12094,1,151
200,1000,4999,3,805,402,2,11
200,2000,554,11,829,1183,1,62
200,3000,6041,9,823,682,3,22
200,4000,8336,12,832,902,1,67
200,5000,4893,10,826,2632,3,15
200,6000,9054,9,823,956,2,26
200,7000,2347,23,865,4019,1,104
200,8000,9421,24,868,2846,1,114
200,9000,8654,24,874,8296,1,98
200,10000,5687,22,862,4834,1,88
250,1000,295,1,999,500,0,0
