num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,paths_time,hybrid_r_time,hybrid_nr_time,paths_sum,hybrid_r_sum,hybrid_nr_sum
10,2000,2073,5,51,40,012,0.09044718742370605,0.04144477844238281,0.020701169967651367,38734917.13872161,38734917.13872161,38734917.13872161
10,2000,9479,2,42,34,021,0.06293201446533203,0.03391003608703613,0.016299962997436523,20333640.036383573,20333640.036383573,20333640.036383573
10,2000,1415,5,51,53,012,0.2114560604095459,0.13666391372680664,0.07225513458251953,57310074.40994552,57310074.409945525,57310074.409945525
10,2000,751,4,48,30,201,0.03787970542907715,0.021578073501586914,0.011976003646850586,4763629.702740764,4763629.702740764,4763629.702740764
10,2000,7922,3,45,48,201,0.15875935554504395,0.03689980506896973,0.01709604263305664,97711713.41067652,97711713.41067652,97711713.41067652
10,3000,9857,2,42,21,102,0.012697935104370117,0.01967000961303711,0.011188983917236328,4310418.914334644,4310418.914334644,4310418.914334645
10,3000,2665,1,39,20,120,0.009840250015258789,0.06762886047363281,0.015437602996826172,1480113.4785951925,1480113.4785951925,1480113.4785951925
10,3000,2158,3,45,37,120,0.13318991661071777,0.050267696380615234,0.026978015899658203,8721410.566990584,8721410.566990584,8721410.566990582
10,3000,6413,3,45,24,210,0.022393226623535156,0.023192167282104492,0.012627840042114258,11545519.291256566,11545519.291256566,11545519.291256567
10,3000,4805,7,57,33,201,0.07358479499816895,0.08048796653747559,0.045571088790893555,6076603.65404995,6076603.65404995,6076603.65404995
10,3000,2927,7,57,54,102,0.21765613555908203,0.15964174270629883,0.08833575248718262,47302625.82387428,47302625.82387428,47302625.82387428
10,3000,7880,6,54,31,021,0.062125205993652344,0.05875396728515625,0.033204078674316406,12163465.614293188,12163465.614293188,12163465.61429319
10,3000,1509,3,45,24,102,0.03615593910217285,0.03205609321594238,0.015085935592651367,42943835.08847674,42943835.08847674,42943835.08847673
10,3000,3669,10,69,321,120,17.37722110748291,0.19814014434814453,5.792485952377319,4187903148.7442827,4187903148.744283,4126239954.853613
10,3000,6777,4,48,35,120,0.08911991119384766,0.03296208381652832,0.016432762145996094,35884587.662683904,35884587.662683904,35884587.662683904
10,4000,2011,3,45,28,201,0.027704954147338867,0.018611907958984375,0.009307146072387695,8183366.125272516,8183366.125272515,8183366.125272514
10,4000,2457,4,48,40,021,0.09111976623535156,0.06977105140686035,0.03967118263244629,28914045.12264429,28914045.12264429,28914045.12264429
10,4000,5793,6,54,62,012,0.5036783218383789,0.06461024284362793,0.03837418556213379,99875401.13436462,99875401.1343646,99875401.1343646
10,4000,100,5,51,26,021,0.021712779998779297,0.032515764236450195,0.02433300018310547,6721270.450879537,6721270.450879536,6721270.450879536
10,4000,3177,6,54,61,021,0.3297750949859619,0.05649900436401367,0.1703789234161377,107971144.23947045,107971144.23947045,107971144.23947045
10,4000,3099,13,75,247,102,9.572618961334229,2.0195178985595703,2.188318967819214,2766486055.7062755,2766486055.7062755,2766486055.7062755
10,4000,4548,10,66,78,210,0.5477969646453857,0.19421076774597168,0.10651183128356934,85113545.86925256,85113545.86925256,85113545.86925256
10,4000,820,10,66,82,012,0.6267969608306885,0.14762210845947266,0.07870292663574219,244616111.0561269,244616111.05612692,244616111.05612686
10,4000,3200,4,48,25,120,0.045172929763793945,0.02652907371520996,0.0167081356048584,9638785.874312589,9638785.874312589,8817511.559394652
10,4000,4272,3,45,36,021,0.06590414047241211,0.019610881805419922,0.01954483985900879,6510759.419590796,6510759.419590797,6510759.419590797
10,5000,5521,8,60,124,120,1.686392068862915,0.22355103492736816,0.24906015396118164,416004289.1134339,416004289.11343384,392791536.9378967
