num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,hybrid_nr_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,hybrid_nr_sum,top_down_sum,paths_modified_sum
60,1000,43,4,248,141,04312,2,5.899142265319824,1.1879570484161377,0.7121081352233887,0.01441502571105957,0.09628796577453613,366548021.8883863,366548021.88838625,366548021.88838625,366548021.88838625,366548021.8883863
60,1000,254,4,248,245,23014,2,22.503095865249634,1.0902421474456787,1.2868189811706543,0.01708698272705078,0.16196584701538086,2799132362.8995996,2799132362.8996,2799132362.8995996,2799132362.8996,2799132362.8995996
60,1000,2986,2,242,125,42103,1,4.393452167510986,2.9589600563049316,1.5223159790039062,0.018457889556884766,0.0888667106628418,253685947.90145382,253685947.9014538,253685947.9014538,253685947.9014538,253685947.90145382
60,1000,493,1,239,120,12403,0,4.947426080703735,10.586282968521118,5.230438232421875,0.012436151504516602,0.08194875717163086,160585666.37318504,160585666.37318504,160585666.37318504,160585666.37318504,160585666.37318504
70,1000,3815,3,285,148,14032,1,4.266057014465332,2.966050863265991,1.625749111175537,0.01685476303100586,0.14339089393615723,164471698.5105958,164471698.51059577,164471698.5105958,164471698.51059577,164471698.5105958
70,1000,9804,3,285,246,03241,2,24.217129945755005,9.139482975006104,4.55698299407959,0.0172879695892334,0.18375587463378906,1461124626.7842138,1461124626.784214,1461124626.784214,496713389.7382334,1461124626.7842138
70,1000,2332,3,285,206,23104,2,14.708890914916992,4.614108324050903,2.5088179111480713,0.018024206161499023,0.15134191513061523,838262060.0352005,838262060.0352004,836440075.742047,838262060.0352004,838262060.0352005
70,1000,165,3,285,148,03214,2,5.6452178955078125,1.1605730056762695,0.7000153064727783,0.01766204833984375,0.11432719230651855,464849970.3171226,464849970.3171227,464849970.3171226,464849970.3171226,464849970.3171226
70,1000,5640,1,279,140,42130,0,6.360352993011475,13.626972198486328,6.783935070037842,0.014698028564453125,0.11080503463745117,198406574.14597178,198406574.14597178,198406574.14597178,198406574.1459718,198406574.14597178
80,1000,2462,4,328,171,03241,2,8.988817930221558,5.8407371044158936,3.2378599643707275,0.019685029983520508,0.14977812767028809,350683144.104406,350683144.10440606,350683144.104406,350683144.10440606,350683144.104406
80,1000,1465,2,322,172,42103,1,11.058398962020874,12.054214239120483,5.909886121749878,0.01948094367980957,0.15318512916564941,1266238635.9337401,1266238635.9337401,1266238635.9337401,1266238635.9337401,1266238635.9337401
80,1000,8953,2,322,181,13042,1,16.0867657661438,3.7550289630889893,1.9570691585540771,0.01966381072998047,0.16676092147827148,164736396.22565284,164736396.22565287,164736396.22565287,164736396.22565284,164736396.22565284
