num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
90,2000,4284,7,377,342,10,1.4995570182800293,0.7020390033721924,2856023235.068742,2856023235.0687423
90,2000,1909,4,368,192,01,0.6744890213012695,0.48131871223449707,616742119.5394281,616742119.5394281
90,2000,8446,6,374,376,01,1.7260921001434326,0.6441471576690674,5135173445.799677,5135173445.799677
90,3000,6190,9,383,322,01,1.3837080001831055,0.66581130027771,794380747.2956086,794380747.2956088
90,3000,3443,7,377,346,01,1.4992640018463135,0.5044939517974854,3172779716.1046224,3172779716.104623
90,3000,802,11,389,1979,10,11.266004085540771,8.986945152282715,163902278397.56625,163902278397.5663
90,4000,8790,8,380,245,10,0.8266429901123047,0.4251260757446289,386100754.5650119,386100754.565012
90,4000,7177,15,401,361,10,1.2621140480041504,0.59157395362854,4600189819.028989,4600189819.028989
90,4000,8851,20,416,1548,01,9.135781049728394,5.7722837924957275,90126114303.32327,90126114303.32332
90,5000,8715,9,383,394,01,1.5744400024414062,0.5875840187072754,4180104500.876319,4180104500.876319
90,5000,5686,15,401,1098,10,6.010502815246582,2.4545278549194336,39190510065.97331,39190510065.973305
90,5000,4765,7,377,209,10,0.6121680736541748,0.36570096015930176,166579643.18993828,166579643.1899383
110,1000,197,3,445,228,01,1.3711953163146973,0.685924768447876,652851316.7760808,652851316.7760808
110,1000,3840,3,445,311,10,1.533499002456665,0.6907808780670166,1164584285.516683,1164584285.516683
110,1000,2734,5,451,349,10,1.4332318305969238,0.807049036026001,2852031314.324992,2852031314.3249927
110,2000,2472,3,445,222,10,0.8837761878967285,0.5051350593566895,417227296.89024895,417227296.890249
110,2000,9272,3,445,408,10,1.8045523166656494,0.6672370433807373,3054782383.113769,3054782383.1137695
110,2000,3417,4,448,252,01,0.9742074012756348,0.5327560901641846,786967003.6619409,786967003.661941
110,3000,3000,12,472,5192,01,61.84249806404114,74.72175598144531,1158202751454.4624,1158202751454.46
