,sample,genome_position,time,true_location_0,true_location_1,true_dist_to_center,midpoint_estimated_location_0,midpoint_estimated_location_1,midpoint_error_0,midpoint_abs_error_0,midpoint_abs_error,midpoint_dist_to_center,position_in_arg,arg_estimated_location_0,arg_variance_in_estimated_location_0,arg_error_0,arg_abs_error_0,arg_abs_error,arg_dist_to_center,window_0_estimated_location_0,window_0_variance_in_estimated_location_0,window_0_estimated_location_1,window_0_variance_in_estimated_location_1,window_0_error_0,window_0_abs_error_0,window_0_abs_error,window_0_dist_to_center,window_100_estimated_location_0,window_100_variance_in_estimated_location_0,window_100_estimated_location_1,window_100_variance_in_estimated_location_1,window_100_error_0,window_100_abs_error_0,window_100_abs_error,window_100_dist_to_center
97,375,836456.9716615516,33,4.464295854861256,1000000.0,46.45601023502492,6.6425532627214485,986566.9932432432,-2.178257407860192,2.178257407860192,2.178257407860192,44.277752827164726,836456.9716615516,8.166292137672322,6.864878505373821,-3.7019962828110655,3.7019962828110655,3.7019962828110655,42.75401395221385,8.012159493049847,6.986188223054407,992256.5860496089,6.986188223054407,-3.5478636381885904,3.5478636381885904,3.5478636381885904,42.90814659683633,8.15164796641406,6.868708370044143,991682.4132107317,6.868708370044143,-3.687352111552804,3.687352111552804,3.687352111552804,42.768658123472115
98,302,327665.72871399636,659,99.86504759523379,1000000.0,48.944741505347615,81.84540716266199,1000000.0,18.019640432571805,18.019640432571805,18.019640432571805,30.92510107277581,327665.72871399636,69.83895471615321,129.34853738007533,30.02609287908058,30.02609287908058,30.02609287908058,18.918648626267036,80.77180230261328,189.2102158561742,1000000.0000005112,189.2102158561742,19.09324529262051,19.09324529262051,19.09324529262051,29.851496212727106,70.30982161625971,129.97002080476344,992730.2109593172,129.97002080476344,29.55522597897408,29.55522597897408,29.55522597897408,19.389515526373536
99,37,740442.1224932047,1249,9.435159802541445,1000000.0,41.48514628734473,22.600688106186556,995858.15625,-13.165528303645111,13.165528303645111,13.165528303645111,28.31961798369962,740442.1224932047,42.42343467600498,182.42991669399296,-32.98827487346354,32.98827487346354,32.98827487346354,8.496871413881195,20.371630780240178,349.0769834670655,997736.4646693541,349.0769834670655,-10.936470977698733,10.936470977698733,10.936470977698733,30.548675309645997,41.8562977421115,184.7120764598498,989108.170260124,184.7120764598498,-32.42113793957006,32.42113793957006,32.42113793957006,9.064008347774674
100,191,282322.0462034699,381,1.5523513600794414,1000000.0,49.36795472980673,9.983012677355996,987676.3173668033,-8.430661317276554,8.430661317276554,8.430661317276554,40.93729341253018,282322.0462034699,17.200382312662114,70.56429071030117,-15.648030952582673,15.648030952582673,15.648030952582673,33.71992377722406,10.588512779616206,119.37120626836852,991676.3297222744,119.37120626836852,-9.036161419536764,9.036161419536764,9.036161419536764,40.33179331026997,16.516876830895352,75.20906293986725,995409.0326301712,75.20906293986725,-14.96452547081591,14.96452547081591,14.96452547081591,34.403429258990826
101,123,168530.39195927331,195,99.19302808243377,1000000.0,48.272721992547595,78.6863012142356,1000000.0,20.50672686819817,20.50672686819817,20.50672686819817,27.765995124349423,168530.39195927331,83.64437127470916,28.13661603747976,15.548656807724612,15.548656807724612,15.548656807724612,32.72406518482298,80.0143822809326,44.3617213542701,999999.9999996143,44.3617213542701,19.178645801501176,19.178645801501176,19.178645801501176,29.09407619104642,84.37951547197864,28.419640166192455,998403.9858505467,28.419640166192455,14.813512610455135,14.813512610455135,14.813512610455135,33.45920938209246
102,284,790572.738775103,1916,5.348395292723792,1000000.0,45.57191079716238,22.600688106186556,995858.15625,-17.252292813462766,17.252292813462766,17.252292813462766,28.31961798369962,790572.738775103,42.65055079825813,433.938742629428,-37.30215550553434,37.30215550553434,37.30215550553434,8.269755291628044,20.232025192422906,724.0397217627157,997752.8183639748,724.0397217627157,-14.883629899699114,14.883629899699114,14.883629899699114,30.68828089746327,41.00464868469779,450.25598697743607,989201.2485261086,450.25598697743607,-35.656253391974,35.656253391974,35.656253391974,9.915657405188384
103,27,219876.33831820675,1525,89.38556527742348,1000000.0,38.465259187537306,76.13023699961195,1000000.0,13.255328277811529,13.255328277811529,13.255328277811529,25.209930909725777,219876.33831820675,60.30755835977915,189.7030258884065,29.07800691764433,29.07800691764433,29.07800691764433,9.387252269892976,73.2619568163027,646.0472098984787,999999.9999987702,646.0472098984787,16.12360846112078,16.12360846112078,16.12360846112078,22.341650726416525,61.508948340069054,235.96652820634048,991969.4892441795,235.96652820634048,27.876616937354427,27.876616937354427,27.876616937354427,10.588642250182879
104,37,951143.7223975017,392,1.5819349933131168,1000000.0,49.338371096573056,10.016308161509414,991716.3125,-8.434373168196297,8.434373168196297,8.434373168196297,40.90399792837676,951143.7223975017,17.469546733062188,71.3859305070163,-15.88761173974907,15.88761173974907,15.88761173974907,33.45075935682399,10.490566165273227,140.39053486800523,995165.3784964961,140.39053486800523,-8.90863117196011,8.90863117196011,8.90863117196011,40.429739924612946,18.817336085022934,95.30880141492638,993831.8140641936,95.30880141492638,-17.235401091709818,17.235401091709818,17.235401091709818,32.10297000486324
105,291,571894.4518557192,899,22.848919078363263,1000000.0,28.071387011522912,39.29630940829677,1000000.0,-16.44739032993351,16.44739032993351,16.44739032993351,11.623996681589404,571894.4518557192,42.598314002151675,101.31419373049386,-19.74939492378841,19.74939492378841,19.74939492378841,8.3219920877345,35.19030336639955,428.2655783812156,999999.999998512,428.2655783812156,-12.341384288036284,12.341384288036284,12.341384288036284,15.730002723486628,42.59831400248183,101.31419373049386,988917.6951079908,101.31419373049386,-19.749394924118565,19.749394924118565,19.749394924118565,8.321992087404347
106,468,974860.9274965017,1780,99.32649275117036,1000000.0,48.40618666128419,74.7576175762661,986606.3512731482,24.568875174904264,24.568875174904264,24.568875174904264,23.837311486379924,974860.9274965017,60.05065738018432,269.2126314703872,39.275835370986044,39.275835370986044,39.275835370986044,9.130351290298144,80.54294741315688,570.3987162085007,1000000.0000011234,570.3987162085007,18.783545338013482,18.783545338013482,18.783545338013482,29.622641323270706,59.44137808583535,330.7779106135038,993924.4856763597,330.7779106135038,39.88511466533501,39.88511466533501,39.88511466533501,8.521071995949178
